20,3,1.411736
21,3,1.444988
22,4,1.591853
23,2,1.546399
24,6,1.588694
25,3,1.672694
26,4,1.713251
27,3,1.695794
28,3,1.715981
29,3,1.715457
30,6,1.731394
31,3,1.770640
32,7,1.590133
33,4,1.851901
34,6,1.795817
35,6,1.798322
36,2,1.834715
37,5,1.829682
38,5,1.889496
39,5,1.970197
40,3,1.898951
41,4,1.866947
42,18,1.596973
43,8,1.980345
44,4,2.025381
45,26,1.918500
46,26,2.084208
47,4,2.089872
48,6,2.050710
49,26,2.102758
50,26,2.170947
51,26,2.250593
52,26,2.227039
53,26,2.005532
54,26,2.229452
55,9,2.209661
56,26,2.300564
57,26,2.296619
58,26,2.305162
59,26,2.227442
60,15,2.110114
61,26,2.359795
62,5,2.223792
63,26,2.191870
64,26,2.321368
65,26,2.350065
66,26,2.369290
67,26,2.310493
68,26,2.273341
69,26,2.309964
70,19,2.290213
71,26,2.284690
72,26,2.268353
73,26,2.349237
74,26,2.405925
75,26,2.392127
76,26,2.240523
77,26,2.350078
78,26,2.415234
79,26,2.344200
80,26,2.382215
81,26,2.307633
82,26,2.489079
83,26,2.386982
84,26,2.500745
85,26,2.459256
86,26,2.379054
87,26,2.445535
88,26,2.543478
89,26,2.251070
90,26,2.526590
91,26,2.613764
92,26,2.396640
93,26,2.577807
94,26,2.591459
95,26,2.620846
96,26,2.424096
97,26,2.545610
98,26,2.665432
99,26,2.502489
